Year,Language,Value,Percentage
2004,German,9535913.728,0.96586535
2004,English,221214.9921,0.02240623
2004,French,26554.23254,0.00268960
2004,Spanish,13404.23718,0.00135768
2004,Chinese,11462.73695,0.00116103
2004,Polish,10201.17671,0.00103325
2004,Italian,8934.077418,0.00090491
2004,Russian,7717.624259,0.00078170
2004,Dutch,6685.211157,0.00067713
2004,Japanese,5724.901243,0.00057986
2004,Turkish,4316.002193,0.00043716
2004,Portuguese,3518.274477,0.00035636
2004,Swedish,2310.045331,0.00023398
2004,Korean,1983.578633,0.00020091
2004,Danish,1580.326496,0.00016007
2004,Hungarian,1342.161833,0.00013594
2004,Arabic,1200.802518,0.00012163
2004,Finnish,1158.785525,0.00011737
2004,Romanian,810.750194,0.00008212
2004,Greek,681.717162,0.00006905
2004,Hebrew,669.819075,0.00006784
2004,Norwegian,464.416293,0.00004704
2004,Thai,453.296088,0.00004591
2004,Bulgarian,410.313422,0.00004156
2004,Lithuanian,399.472266,0.00004046
2004,Vietnamese,399.35288,0.00004045
2004,Persian,356.144697,0.00003607
2004,Slovak,334.626255,0.00003389
2004,Croatian,302.271531,0.00003062
2004,Czech,269.980776,0.00002735
2004,Latvian,215.868371,0.00002186
2004,Slovenian,215.865443,0.00002186
2004,Catalan,215.845561,0.00002186
2004,Ukrainian,172.62717,0.00001748
2004,Estonian,140.257133,0.00001421
2004,Indonesian,118.734837,0.00001203
2004,Albanian,118.718553,0.00001202
2004,Esperanto,107.910836,0.00001093
2004,Latin,97.125319,0.00000984
2004,Bosnian,75.533144,0.00000765
2004,Faroese,75.520444,0.00000765
2004,Icelandic,43.16309,0.00000437
2004,Afrikaans,43.153901,0.00000437
2004,Basque,43.153901,0.00000437
2004,Serbian,43.153901,0.00000437
2004,Maltese,32.376122,0.00000328
2004,Telugu,32.368965,0.00000328
2004,Hindi,32.368138,0.00000328
2004,Macedonian,32.367425,0.00000328
2004,Welsh,32.367373,0.00000328
2004,Belarusian,32.365426,0.00000328
2004,Amharic,21.58395,0.00000219
2004,Swahili,21.582385,0.00000219
2004,Georgian,21.57695,0.00000219
2004,Uzbek,21.57695,0.00000219
2004,Tagalog,21.57695,0.00000219
2004,Tamil,21.57695,0.00000219
2004,Galician,21.57695,0.00000219
2004,Interlingua,10.788475,0.00000109
2004,Azerbaijani,10.788475,0.00000109
2004,Guarani,10.788475,0.00000109
2004,Malayalam,10.788475,0.00000109
2004,Marathi,10.788475,0.00000109
2004,Punjabi,10.788475,0.00000109
2004,Serbo-Croatian,10.788475,0.00000109
2004,Norwegian-N,0,0.00000000
2004,Malay,0,0.00000000
2005,German,9529153.712,0.96950102
2005,English,197961.2402,0.02014068
2005,French,21625.68431,0.00220021
2005,Polish,12135.84839,0.00123471
2005,Spanish,11148.93334,0.00113430
2005,Russian,9348.36507,0.00095111
2005,Chinese,7907.09145,0.00080447
2005,Italian,6738.121072,0.00068554
2005,Dutch,5795.132014,0.00058960
2005,Turkish,5271.535617,0.00053633
2005,Japanese,4303.397665,0.00043783
2005,Swedish,2034.105957,0.00020695
2005,Portuguese,2022.598214,0.00020578
2005,Danish,1654.105588,0.00016829
2005,Korean,1301.481738,0.00013241
2005,Arabic,1293.230911,0.00013157
2005,Finnish,1113.134289,0.00011325
2005,Hungarian,1087.232683,0.00011062
2005,Norwegian,658.844928,0.00006703
2005,Romanian,618.578877,0.00006293
2005,Greek,618.524958,0.00006293
2005,Hebrew,605.593814,0.00006161
2005,Bulgarian,472.118,0.00004803
2005,Thai,445.557809,0.00004533
2005,Vietnamese,424.877243,0.00004323
2005,Slovak,372.205834,0.00003787
2005,Lithuanian,352.085847,0.00003582
2005,Czech,345.59343,0.00003516
2005,Catalan,298.896852,0.00003041
2005,Croatian,232.382652,0.00002364
2005,Ukrainian,212.516063,0.00002162
2005,Latvian,179.178863,0.00001823
2005,Persian,159.208404,0.00001620
2005,Slovenian,99.534638,0.00001013
2005,Estonian,92.887781,0.00000945
2005,Icelandic,86.245763,0.00000877
2005,Indonesian,79.623352,0.00000810
2005,Latin,59.697482,0.00000607
2005,Albanian,53.082476,0.00000540
2005,Serbian,53.062767,0.00000540
2005,Bosnian,53.059387,0.00000540
2005,Irish,46.434892,0.00000472
2005,Georgian,46.422842,0.00000472
2005,Macedonian,39.81046,0.00000405
2005,Norwegian-N,39.810174,0.00000405
2005,Faroese,33.163374,0.00000337
2005,Armenian,26.535286,0.00000270
2005,Esperanto,26.527338,0.00000270
2005,Kurdish,26.527338,0.00000270
2005,Azerbaijani,26.527338,0.00000270
2005,Hindi,19.895504,0.00000202
2005,Swahili,13.265954,0.00000135
2005,Tagalog,13.263669,0.00000135
2005,Tamil,13.263669,0.00000135
2005,Somali,13.263669,0.00000135
2005,Malay,13.263669,0.00000135
2005,Scots-Gaelic,13.263669,0.00000135
2005,Mongolian,13.263669,0.00000135
2005,Basque,6.631835,0.00000067
2005,Belarusian,6.631835,0.00000067
2005,Pashto,6.631835,0.00000067
2005,Welsh,6.631835,0.00000067
2005,Amharic,6.631835,0.00000067
2005,Guarani,0,0.00000000
2005,Occitan,0,0.00000000
2005,Laothian,0,0.00000000
2006,German,9535779.369,0.96941456
2006,English,201865.3969,0.02052179
2006,French,18467.69324,0.00187744
2006,Polish,11767.24305,0.00119627
2006,Russian,11661.78634,0.00118555
2006,Spanish,10982.75824,0.00111652
2006,Italian,7459.773996,0.00075837
2006,Chinese,6491.075003,0.00065989
2006,Dutch,5210.429201,0.00052970
2006,Turkish,4155.126222,0.00042241
2006,Japanese,4149.930359,0.00042189
2006,Portuguese,2253.184126,0.00022906
2006,Swedish,2199.936376,0.00022365
2006,Danish,1672.343155,0.00017001
2006,Arabic,1636.450191,0.00016636
2006,Korean,1480.379132,0.00015050
2006,Finnish,943.823276,0.00009595
2006,Hebrew,903.561686,0.00009186
2006,Hungarian,871.932654,0.00008864
2006,Persian,733.713423,0.00007459
2006,Greek,724.879735,0.00007369
2006,Bulgarian,603.628999,0.00006137
2006,Norwegian,535.871805,0.00005448
2006,Czech,435.969082,0.00004432
2006,Romanian,431.584277,0.00004388
2006,Thai,382.06021,0.00003884
2006,Catalan,323.628787,0.00003290
2006,Slovak,319.442706,0.00003247
2006,Vietnamese,260.207685,0.00002645
2006,Croatian,251.539135,0.00002557
2006,Lithuanian,211.124048,0.00002146
2006,Ukrainian,184.040946,0.00001871
2006,Slovenian,174.968845,0.00001779
2006,Latvian,125.633569,0.00001277
2006,Estonian,107.728061,0.00001095
2006,Indonesian,103.223076,0.00001049
2006,Latin,89.76359,0.00000913
2006,Icelandic,89.723027,0.00000912
2006,Serbian,85.200399,0.00000866
2006,Faroese,40.359348,0.00000410
2006,Bosnian,40.353199,0.00000410
2006,Esperanto,40.352569,0.00000410
2006,Afrikaans,40.348942,0.00000410
2006,Galician,35.868023,0.00000365
2006,Hindi,35.867775,0.00000365
2006,Basque,31.389788,0.00000319
2006,Belarusian,26.904259,0.00000274
2006,Rhaeto-Romance,26.902013,0.00000273
2006,Norwegian-N,26.899295,0.00000273
2006,Armenian,17.932863,0.00000182
2006,Mongolian,13.45216,0.00000137
2006,Azerbaijani,13.450813,0.00000137
2006,Amharic,13.449647,0.00000137
2006,Breton,13.449647,0.00000137
2006,Tamil,8.969336,0.00000091
2006,Macedonian,8.969107,0.00000091
2006,Irish,8.969093,0.00000091
2006,Khmer,8.968732,0.00000091
2006,Xhosa,8.968614,0.00000091
2006,Welsh,8.966432,0.00000091
2006,Malay,8.966432,0.00000091
2006,Tonga,4.483216,0.00000046
2006,Tajik,4.483216,0.00000046
2006,Uighur,4.483216,0.00000046
2006,Swahili,4.483216,0.00000046
2006,Quechua,4.483216,0.00000046
2006,Lingala,4.483216,0.00000046
2006,Tagalog,4.483216,0.00000046
2007,German,9367545.276,0.96513457
2007,English,235813.4153,0.02429577
2007,French,18052.42885,0.00185994
2007,Russian,12754.34231,0.00131408
2007,Polish,12054.19391,0.00124194
2007,Spanish,11290.77331,0.00116328
2007,Italian,7464.561298,0.00076907
2007,Chinese,6671.650902,0.00068738
2007,Dutch,5712.481831,0.00058856
2007,Turkish,4272.77217,0.00044022
2007,Japanese,4092.955816,0.00042170
2007,Arabic,3229.044972,0.00033269
2007,Portuguese,2568.085019,0.00026459
2007,Swedish,1844.397813,0.00019003
2007,Danish,1824.486557,0.00018798
2007,Korean,1303.017449,0.00013425
2007,Hebrew,891.145408,0.00009181
2007,Czech,806.830113,0.00008313
2007,Finnish,753.266252,0.00007761
2007,Hungarian,748.263674,0.00007709
2007,Bulgarian,739.376663,0.00007618
2007,Norwegian,651.877196,0.00006716
2007,Greek,641.780652,0.00006612
2007,Romanian,512.308452,0.00005278
2007,Thai,447.368267,0.00004609
2007,Persian,437.600602,0.00004509
2007,Slovak,325.187529,0.00003350
2007,Catalan,308.046361,0.00003174
2007,Vietnamese,307.738878,0.00003171
2007,Lithuanian,305.033651,0.00003143
2007,Ukrainian,223.013464,0.00002298
2007,Croatian,208.742793,0.00002151
2007,Latvian,143.648554,0.00001480
2007,Slovenian,135.14147,0.00001392
2007,Icelandic,87.31399,0.00000900
2007,Bosnian,81.725303,0.00000842
2007,Serbian,78.790124,0.00000812
2007,Indonesian,75.993695,0.00000783
2007,Estonian,70.391979,0.00000725
2007,Albanian,53.503988,0.00000551
2007,Latin,53.481077,0.00000551
2007,Afrikaans,36.591675,0.00000377
2007,Norwegian-N,36.590242,0.00000377
2007,Macedonian,30.979258,0.00000319
2007,Scots-Gaelic,30.968892,0.00000319
2007,Mongolian,30.959391,0.00000319
2007,Tamil,25.323779,0.00000261
2007,Faroese,22.510681,0.00000232
2007,Basque,19.70422,0.00000203
2007,Tagalog,19.698113,0.00000203
2007,Rhaeto-Romance,19.695255,0.00000203
2007,Galician,16.885818,0.00000174
2007,Maltese,16.883783,0.00000174
2007,Irish,14.075972,0.00000145
2007,Amharic,14.067658,0.00000145
2007,Esperanto,11.254126,0.00000116
2007,Kurdish,5.627063,0.00000058
2007,Urdu,5.627063,0.00000058
2007,Twi,2.813532,0.00000029
2007,Corsican,2.813532,0.00000029
2007,Tajik,2.813532,0.00000029
2007,Yoruba,0,0.00000000
2008,German,9563325.214,0.96346249
2008,English,227678.0502,0.02293755
2008,French,22112.24957,0.00222771
2008,Russian,18396.6332,0.00185338
2008,Polish,15886.80495,0.00160053
2008,Spanish,13335.23017,0.00134347
2008,Italian,10879.81098,0.00109609
2008,Chinese,8708.856743,0.00087738
2008,Dutch,6684.573737,0.00067344
2008,Turkish,5186.709183,0.00052254
2008,Arabic,4929.056244,0.00049658
2008,Japanese,4491.613192,0.00045251
2008,Portuguese,3443.735319,0.00034694
2008,Swedish,2634.796795,0.00026544
2008,Danish,1954.391823,0.00019690
2008,Norwegian,1753.708828,0.00017668
2008,Korean,1349.342257,0.00013594
2008,Persian,1326.145312,0.00013360
2008,Hungarian,1196.896837,0.00012058
2008,Greek,1134.410872,0.00011429
2008,Finnish,1091.249923,0.00010994
2008,Hebrew,1051.254174,0.00010591
2008,Bulgarian,989.410948,0.00009968
2008,Czech,979.569061,0.00009869
2008,Thai,823.853632,0.00008300
2008,Romanian,627.421204,0.00006321
2008,Vietnamese,466.725951,0.00004702
2008,Slovak,452.852382,0.00004562
2008,Catalan,409.146099,0.00004122
2008,Indonesian,386.966676,0.00003899
2008,Croatian,343.119535,0.00003457
2008,Slovenian,233.398767,0.00002351
2008,Ukrainian,212.795604,0.00002144
2008,Lithuanian,197.062889,0.00001985
2008,Serbian,165.907417,0.00001671
2008,Estonian,124.325663,0.00001253
2008,Icelandic,121.88584,0.00001228
2008,Albanian,116.593663,0.00001175
2008,Norwegian-N,103.61227,0.00001044
2008,Afrikaans,95.827597,0.00000965
2008,Latvian,93.194512,0.00000939
2008,Bosnian,77.669896,0.00000782
2008,Basque,59.503502,0.00000599
2008,Latin,43.983051,0.00000443
2008,Irish,36.239176,0.00000365
2008,Macedonian,36.23625,0.00000365
2008,Georgian,31.060403,0.00000313
2008,Hindi,31.050991,0.00000313
2008,Esperanto,25.887283,0.00000261
2008,Tagalog,23.282179,0.00000235
2008,Faroese,15.525765,0.00000156
2008,Kurdish,15.521453,0.00000156
2008,Uzbek,12.934577,0.00000130
2008,Belarusian,12.934544,0.00000130
2008,Welsh,12.934544,0.00000130
2008,Azerbaijani,10.349154,0.00000104
2008,Tatar,7.762936,0.00000078
2008,Maltese,7.760726,0.00000078
2008,Gujarati,7.760726,0.00000078
2008,Amharic,7.760726,0.00000078
2008,Xhosa,5.175304,0.00000052
2008,Tigrinya,5.175114,0.00000052
2008,Telugu,5.174982,0.00000052
2008,Malay,2.586909,0.00000026
2008,Tamil,2.586909,0.00000026
2008,Sinhalese,2.586909,0.00000026
2008,Bengali,2.586909,0.00000026
2008,Yiddish,0,0.00000000
2009,German,9618578.634,0.96226672
2009,English,218114.7204,0.02182074
2009,French,22665.63025,0.00226753
2009,Russian,18949.82853,0.00189579
2009,Arabic,17515.93115,0.00175234
2009,Polish,16793.311,0.00168005
2009,Spanish,13764.63673,0.00137705
2009,Italian,10358.32662,0.00103627
2009,Chinese,8325.857265,0.00083294
2009,Czech,8202.387632,0.00082059
2009,Dutch,7355.887271,0.00073590
2009,Turkish,4733.338991,0.00047354
2009,Japanese,3973.577431,0.00039753
2009,Portuguese,3685.66811,0.00036872
2009,Persian,3280.194494,0.00032816
2009,Swedish,2926.02491,0.00029273
2009,Danish,2283.091155,0.00022841
2009,Hungarian,1677.112945,0.00016778
2009,Korean,1426.058744,0.00014267
2009,Finnish,1185.883627,0.00011864
2009,Bulgarian,1173.664859,0.00011742
2009,Greek,1107.356089,0.00011078
2009,Hebrew,1013.666105,0.00010141
