Year,Language,Value,Percentage
2004,English,9971293.849,0.97917349
2004,Hindi,62178.47316,0.00610588
2004,German,17239.66094,0.00169292
2004,Chinese,17025.37013,0.00167188
2004,Bengali,16933.88669,0.00166289
2004,Telugu,11857.58103,0.00116441
2004,French,11601.8625,0.00113929
2004,Tamil,11509.05332,0.00113018
2004,Marathi,10412.32908,0.00102248
2004,Spanish,8284.674237,0.00081355
2004,Japanese,7649.71717,0.00075120
2004,Dutch,4000.785027,0.00039287
2004,Italian,3214.066395,0.00031562
2004,Portuguese,3135.601254,0.00030791
2004,Arabic,2552.061751,0.00025061
2004,Polish,2046.33937,0.00020095
2004,Indonesian,2031.927713,0.00019953
2004,Russian,1624.863591,0.00015956
2004,Swedish,1584.755218,0.00015562
2004,Korean,1404.386837,0.00013791
2004,Hebrew,1343.623452,0.00013194
2004,Turkish,1283.826308,0.00012607
2004,Danish,1163.471632,0.00011425
2004,Punjabi,1102.8011,0.00010829
2004,Finnish,1002.790367,0.00009847
2004,Thai,781.935953,0.00007679
2004,Czech,581.307688,0.00005708
2004,Icelandic,581.114609,0.00005707
2004,Norwegian,541.120096,0.00005314
2004,Persian,541.010117,0.00005313
2004,Kannada,500.933553,0.00004919
2004,Hungarian,500.922917,0.00004919
2004,Estonian,461.097885,0.00004528
2004,Afrikaans,460.975282,0.00004527
2004,Romanian,460.958852,0.00004527
2004,Gujarati,400.944594,0.00003937
2004,Lithuanian,400.816011,0.00003936
2004,Greek,380.798172,0.00003739
2004,Ukrainian,340.69104,0.00003346
2004,Bulgarian,340.661056,0.00003345
2004,Malayalam,260.670365,0.00002560
2004,Vietnamese,240.478777,0.00002361
2004,Croatian,240.475635,0.00002361
2004,Serbian,240.472918,0.00002361
2004,Bihari,140.276176,0.00001378
2004,Tagalog,140.256377,0.00001377
2004,Albanian,140.246106,0.00001377
2004,Latvian,140.246106,0.00001377
2004,Slovak,140.246106,0.00001377
2004,Swahili,100.191187,0.00000984
2004,Oriya,100.17579,0.00000984
2004,Malay,80.155065,0.00000787
2004,Urdu,80.140632,0.00000787
2004,Faroese,80.140632,0.00000787
2004,Slovenian,80.140632,0.00000787
2004,Irish,60.106527,0.00000590
2004,Catalan,60.105474,0.00000590
2004,Nepali,40.070316,0.00000393
2004,Basque,40.070316,0.00000393
2004,Macedonian,40.070316,0.00000393
2004,Galician,40.070316,0.00000393
2004,Uzbek,20.035158,0.00000197
2004,Sanskrit,20.035158,0.00000197
2004,Norwegian-N,20.035158,0.00000197
2004,Maltese,20.035158,0.00000197
2004,Azerbaijani,20.035158,0.00000197
2004,Amharic,20.035158,0.00000197
2004,Breton,20.035158,0.00000197
2005,English,9632660.793,0.98337409
2005,Hindi,62285.09411,0.00635853
2005,Chinese,11398.3398,0.00116363
2005,Tamil,10905.39671,0.00111330
2005,German,9772.925105,0.00099769
2005,Bengali,9555.296971,0.00097548
2005,French,9531.205592,0.00097302
2005,Telugu,8126.492759,0.00082961
2005,Marathi,7855.106498,0.00080191
2005,Japanese,6439.512518,0.00065739
2005,Spanish,2662.453782,0.00027180
2005,Italian,2112.770762,0.00021569
2005,Dutch,1772.092514,0.00018091
2005,Arabic,1624.013299,0.00016579
2005,Korean,1609.801532,0.00016434
2005,Indonesian,1334.807572,0.00013627
2005,Hebrew,1098.462512,0.00011214
2005,Russian,1096.659328,0.00011196
2005,Persian,997.340838,0.00010182
2005,Finnish,897.578007,0.00009163
2005,Thai,884.428861,0.00009029
2005,Icelandic,735.91107,0.00007513
2005,Punjabi,735.638223,0.00007510
2005,Kannada,711.003473,0.00007258
2005,Danish,697.361614,0.00007119
2005,Polish,684.948101,0.00006992
2005,Portuguese,684.778709,0.00006991
2005,Swedish,672.909719,0.00006870
2005,Malayalam,647.836214,0.00006614
2005,Turkish,598.414221,0.00006109
2005,Gujarati,448.474389,0.00004578
2005,Estonian,386.007436,0.00003941
2005,Hungarian,373.516195,0.00003813
2005,Norwegian,298.725509,0.00003050
2005,Afrikaans,273.953494,0.00002797
2005,Czech,249.169723,0.00002544
2005,Urdu,199.169306,0.00002033
2005,Ukrainian,186.722937,0.00001906
2005,Slovak,186.682203,0.00001906
2005,Azerbaijani,149.452297,0.00001526
2005,Nepali,149.361074,0.00001525
2005,Greek,136.89219,0.00001397
2005,Vietnamese,124.481963,0.00001271
2005,Bulgarian,124.478627,0.00001271
2005,Slovenian,112.039307,0.00001144
2005,Latvian,99.574391,0.00001017
2005,Malay,87.133926,0.00000890
2005,Belarusian,87.126319,0.00000889
2005,Oriya,87.113212,0.00000889
2005,Uzbek,74.683786,0.00000762
2005,Catalan,74.678761,0.00000762
2005,Latin,74.672395,0.00000762
2005,Albanian,74.668467,0.00000762
2005,Romanian,74.668467,0.00000762
2005,Serbian,74.668467,0.00000762
2005,Guarani,62.250894,0.00000636
2005,Macedonian,49.793281,0.00000508
2005,Croatian,49.792005,0.00000508
2005,Tagalog,49.778978,0.00000508
2005,Sanskrit,49.778978,0.00000508
2005,Javanese,37.334234,0.00000381
2005,Faroese,37.334234,0.00000381
2005,Basque,24.889489,0.00000254
2005,Interlingua,24.889489,0.00000254
2005,Bihari,24.889489,0.00000254
2005,Pashto,12.444745,0.00000127
2005,Galician,12.444745,0.00000127
2005,Irish,12.444745,0.00000127
2005,Armenian,12.444745,0.00000127
2005,Maltese,12.444745,0.00000127
2005,Rhaeto-Romance,12.444745,0.00000127
2005,Tonga,12.444745,0.00000127
2005,Tatar,12.444745,0.00000127
2005,Lithuanian,12.444745,0.00000127
2005,Bosnian,0,0.00000000
2005,Frisian,0,0.00000000
2005,Mongolian,0,0.00000000
2005,Interlingue,0,0.00000000
2005,Scots-Gaelic,0,0.00000000
2006,English,10000000,0.98686832
2006,Hindi,59014.59181,0.00582396
2006,French,8626.450011,0.00085132
2006,Chinese,7045.665156,0.00069531
2006,German,6975.514203,0.00068839
2006,Tamil,6811.453651,0.00067220
2006,Bengali,5908.071807,0.00058305
2006,Telugu,4965.634693,0.00049004
2006,Marathi,4669.245785,0.00046079
2006,Japanese,3812.396446,0.00037623
2006,Indonesian,2462.910201,0.00024306
2006,Spanish,2038.047711,0.00020113
2006,Korean,1941.690925,0.00019162
2006,Italian,1882.576678,0.00018579
2006,Arabic,1597.593099,0.00015766
2006,Russian,1252.475583,0.00012360
2006,Kannada,1201.801404,0.00011860
2006,Dutch,1089.786781,0.00010755
2006,Thai,1000.063656,0.00009869
2006,Swedish,829.087553,0.00008182
2006,Punjabi,799.616677,0.00007891
2006,Persian,725.821374,0.00007163
2006,Portuguese,673.795747,0.00006649
2006,Turkish,555.034677,0.00005477
2006,Hebrew,539.934464,0.00005328
2006,Danish,532.821154,0.00005258
2006,Icelandic,532.599128,0.00005256
2006,Malayalam,517.605523,0.00005108
2006,Finnish,503.253855,0.00004966
2006,Polish,473.448856,0.00004672
2006,Gujarati,288.19703,0.00002844
2006,Afrikaans,251.368803,0.00002481
2006,Czech,243.924751,0.00002407
2006,Estonian,243.801236,0.00002406
2006,Faroese,214.270031,0.00002115
2006,Norwegian,206.983647,0.00002043
2006,Oriya,184.700044,0.00001823
2006,Romanian,162.553874,0.00001604
2006,Vietnamese,162.551026,0.00001604
2006,Hungarian,155.069913,0.00001530
2006,Ukrainian,132.931314,0.00001312
2006,Nepali,132.924855,0.00001312
2006,Malay,118.151347,0.00001166
2006,Macedonian,103.419564,0.00001021
2006,Greek,103.412839,0.00001021
2006,Bulgarian,103.391474,0.00001020
2006,Slovak,95.991624,0.00000947
2006,Croatian,81.288596,0.00000802
2006,Lithuanian,81.231914,0.00000802
2006,Albanian,81.218609,0.00000802
2006,Sanskrit,73.835481,0.00000729
2006,Urdu,66.451589,0.00000656
2006,Latvian,66.451589,0.00000656
2006,Interlingua,59.081098,0.00000583
2006,Belarusian,51.684569,0.00000510
2006,Bihari,44.30106,0.00000437
2006,Tagalog,44.30106,0.00000437
2006,Slovenian,36.927398,0.00000364
2006,Armenian,36.922785,0.00000364
2006,Javanese,36.91755,0.00000364
2006,Norwegian-N,36.91755,0.00000364
2006,Pashto,29.542199,0.00000292
2006,Bosnian,29.541525,0.00000292
2006,Catalan,29.540721,0.00000292
2006,Mongolian,29.53404,0.00000291
2006,Galician,29.53404,0.00000291
2006,Corsican,22.156748,0.00000219
2006,Esperanto,22.154019,0.00000219
2006,Tatar,22.15053,0.00000219
2006,Zulu,22.15053,0.00000219
2006,Basque,22.15053,0.00000219
2006,Azerbaijani,22.15053,0.00000219
2006,Kyrgyz,14.76702,0.00000146
2006,Kazakh,14.76702,0.00000146
2006,Quechua,14.76702,0.00000146
2006,Maltese,14.76702,0.00000146
2006,Amharic,14.76702,0.00000146
2006,Uzbek,7.38351,0.00000073
2006,Laothian,7.38351,0.00000073
2006,Sinhalese,7.38351,0.00000073
2006,Serbian,7.38351,0.00000073
2006,Tonga,0,0.00000000
2007,English,9996981.768,0.98978289
2007,Hindi,40436.53756,0.00400355
2007,Tamil,7744.634569,0.00076678
2007,French,6185.222522,0.00061239
2007,German,5876.428391,0.00058181
2007,Chinese,5041.94204,0.00049919
2007,Telugu,4828.86092,0.00047810
2007,Marathi,4263.787847,0.00042215
2007,Bengali,4028.890852,0.00039889
2007,Japanese,3441.903948,0.00034078
2007,Arabic,2662.808077,0.00026364
2007,Korean,1877.6739,0.00018591
2007,Spanish,1855.105816,0.00018367
2007,Italian,1494.919992,0.00014801
2007,Dutch,1282.379694,0.00012697
2007,Russian,1116.532793,0.00011055
2007,Thai,903.876101,0.00008949
