Year,Language,Value,Percentage
2004,English,9540270.516,0.97207591
2004,French,57735.50596,0.00588278
2004,German,57514.20534,0.00586023
2004,Spanish,24262.79508,0.00247218
2004,Dutch,22054.57806,0.00224718
2004,Chinese,19675.28422,0.00200475
2004,Arabic,19444.25559,0.00198121
2004,Italian,18678.74868,0.00190321
2004,Japanese,9718.714472,0.00099026
2004,Polish,6260.738691,0.00063792
2004,Portuguese,5901.401966,0.00060130
2004,Swedish,3886.427933,0.00039600
2004,Czech,2913.149211,0.00029683
2004,Danish,2862.734795,0.00029169
2004,Turkish,2335.359039,0.00023795
2004,Russian,2329.381121,0.00023734
2004,Greek,2075.209375,0.00021145
2004,Finnish,1972.732724,0.00020101
2004,Hungarian,1904.44039,0.00019405
2004,Persian,1749.960628,0.00017831
2004,Korean,1484.396218,0.00015125
2004,Norwegian,1380.57515,0.00014067
2004,Hebrew,1078.679777,0.00010991
2004,Thai,843.908655,0.00008599
2004,Lithuanian,711.920021,0.00007254
2004,Romanian,668.350728,0.00006810
2004,Welsh,645.527328,0.00006577
2004,Slovak,512.696483,0.00005224
2004,Ukrainian,379.087692,0.00003863
2004,Croatian,375.640507,0.00003827
2004,Bulgarian,298.798936,0.00003045
2004,Catalan,235.043971,0.00002395
2004,Latvian,184.450911,0.00001879
2004,Slovenian,182.59687,0.00001861
2004,Irish,177.015107,0.00001804
2004,Hindi,150.709844,0.00001536
2004,Vietnamese,145.132068,0.00001479
2004,Estonian,135.93276,0.00001385
2004,Afrikaans,124.769407,0.00001271
2004,Icelandic,109.704958,0.00001118
2004,Indonesian,92.925627,0.00000947
2004,Serbian,79.959637,0.00000815
2004,Azerbaijani,74.348769,0.00000758
2004,Tagalog,63.193879,0.00000644
2004,Latin,59.542461,0.00000607
2004,Galician,55.801899,0.00000569
2004,Scots-Gaelic,53.983581,0.00000550
2004,Faroese,44.614256,0.00000455
2004,Albanian,42.752693,0.00000436
2004,Tamil,39.050992,0.00000398
2004,Bengali,37.177671,0.00000379
2004,Malay,37.169707,0.00000379
2004,Maltese,35.302673,0.00000360
2004,Norwegian-N,33.45955,0.00000341
2004,Esperanto,26.02453,0.00000265
2004,Uzbek,26.008078,0.00000265
2004,Telugu,24.15643,0.00000246
2004,Basque,22.299028,0.00000227
2004,Urdu,20.437418,0.00000208
2004,Marathi,18.586778,0.00000189
2004,Nepali,18.582267,0.00000189
2004,Swahili,14.869692,0.00000152
2004,Kannada,11.150576,0.00000114
2004,Amharic,9.288599,0.00000095
2004,Twi,7.43161,0.00000076
2004,Breton,5.57316,0.00000057
2004,Frisian,1.85772,0.00000019
2004,Mongolian,0,0.00000000
2004,Sindhi,0,0.00000000
2005,English,9501942.292,0.98052768
2005,German,39012.14687,0.00402575
2005,French,37562.32287,0.00387614
2005,Spanish,18351.19394,0.00189370
2005,Chinese,14158.00157,0.00146100
2005,Italian,13472.4143,0.00139025
2005,Dutch,12460.21839,0.00128580
2005,Polish,10448.33159,0.00107819
2005,Japanese,7055.704614,0.00072809
2005,Portuguese,4728.105372,0.00048790
2005,Swedish,3363.907398,0.00034713
2005,Russian,3181.0205,0.00032826
2005,Arabic,3089.863461,0.00031885
2005,Finnish,2225.874665,0.00022969
2005,Turkish,2004.546421,0.00020685
2005,Danish,1862.238282,0.00019217
2005,Czech,1565.045835,0.00016150
2005,Greek,1355.138292,0.00013984
2005,Korean,1280.982682,0.00013219
2005,Ukrainian,1135.158759,0.00011714
2005,Lithuanian,1087.201337,0.00011219
2005,Hungarian,1042.064296,0.00010753
2005,Norwegian,1016.253555,0.00010487
2005,Slovak,858.945466,0.00008864
2005,Romanian,795.464429,0.00008209
2005,Welsh,732.631288,0.00007560
2005,Hebrew,697.414538,0.00007197
2005,Thai,656.961192,0.00006779
2005,Persian,433.258455,0.00004471
2005,Bulgarian,368.842693,0.00003806
2005,Croatian,360.343337,0.00003718
2005,Catalan,245.728639,0.00002536
2005,Irish,208.056363,0.00002147
2005,Latvian,195.515372,0.00002018
2005,Afrikaans,171.399233,0.00001769
2005,Slovenian,131.956687,0.00001362
2005,Hindi,122.883057,0.00001268
2005,Azerbaijani,119.645536,0.00001235
2005,Estonian,114.143025,0.00001178
2005,Icelandic,101.956842,0.00001052
2005,Vietnamese,100.875428,0.00001041
2005,Galician,72.358825,0.00000747
2005,Indonesian,72.255246,0.00000746
2005,Tagalog,66.801151,0.00000689
2005,Latin,63.57265,0.00000656
2005,Serbian,61.357352,0.00000633
2005,Albanian,56.949692,0.00000588
2005,Malay,47.079349,0.00000486
2005,Tamil,41.579716,0.00000429
2005,Basque,40.538213,0.00000418
2005,Maltese,29.54112,0.00000305
2005,Somali,26.256118,0.00000271
2005,Urdu,21.883557,0.00000226
2005,Armenian,20.785755,0.00000214
2005,Yoruba,17.50034,0.00000181
2005,Punjabi,17.499062,0.00000181
2005,Norwegian-N,14.22439,0.00000147
2005,Nepali,14.223068,0.00000147
2005,Scots-Gaelic,14.22067,0.00000147
2005,Gujarati,13.130969,0.00000136
2005,Swahili,13.124439,0.00000135
2005,Faroese,12.033415,0.00000124
2005,Bengali,12.029154,0.00000124
2005,Mongolian,10.938809,0.00000113
2005,Macedonian,9.847129,0.00000102
2005,Guarani,8.751096,0.00000090
2005,Marathi,8.750838,0.00000090
2005,Kannada,7.656579,0.00000079
2005,Serbo-Croatian,7.654916,0.00000079
2005,Kyrgyz,5.469345,0.00000056
2005,Occitan,5.469056,0.00000056
2005,Interlingua,4.374297,0.00000045
2005,Belarusian,3.280678,0.00000034
2005,Sesotho,2.187119,0.00000023
2005,Kazakh,1.093559,0.00000011
2005,Amharic,1.093559,0.00000011
2006,English,9469266.465,0.97751076
2006,French,43024.27832,0.00444139
2006,German,41451.68533,0.00427905
2006,Polish,21754.24486,0.00224569
2006,Spanish,19221.21532,0.00198420
2006,Italian,17683.74545,0.00182549
2006,Chinese,13277.03814,0.00137059
2006,Dutch,10741.57107,0.00110885
2006,Japanese,6520.196405,0.00067308
2006,Russian,5995.448562,0.00061891
2006,Portuguese,5630.836177,0.00058127
2006,Swedish,3623.022997,0.00037400
2006,Arabic,2971.90665,0.00030679
2006,Finnish,2492.11437,0.00025726
2006,Turkish,2347.122856,0.00024229
2006,Danish,2002.892643,0.00020676
2006,Ukrainian,1886.960416,0.00019479
2006,Lithuanian,1744.900107,0.00018013
2006,Greek,1677.416583,0.00017316
2006,Hungarian,1625.352862,0.00016778
2006,Slovak,1505.199603,0.00015538
2006,Czech,1441.60657,0.00014882
2006,Korean,1440.588996,0.00014871
2006,Norwegian,1057.141787,0.00010913
2006,Romanian,1000.780207,0.00010331
2006,Hebrew,937.503792,0.00009678
2006,Welsh,716.684739,0.00007398
2006,Thai,674.753517,0.00006965
2006,Bulgarian,613.973427,0.00006338
2006,Latvian,304.0583,0.00003139
2006,Catalan,303.20356,0.00003130
2006,Persian,233.08312,0.00002406
2006,Icelandic,223.951152,0.00002312
2006,Croatian,178.291766,0.00001841
2006,Irish,151.742546,0.00001566
2006,Estonian,147.686422,0.00001525
2006,Slovenian,119.029997,0.00001229
2006,Hindi,108.357118,0.00001119
2006,Afrikaans,106.204927,0.00001096
2006,Vietnamese,80.490627,0.00000831
2006,Indonesian,63.672472,0.00000657
2006,Tagalog,59.155986,0.00000611
2006,Galician,57.081362,0.00000589
2006,Serbian,56.406102,0.00000582
2006,Maltese,51.952146,0.00000536
2006,Latin,42.421512,0.00000438
2006,Scots-Gaelic,38.019226,0.00000392
2006,Albanian,34.323125,0.00000354
2006,Malay,26.290536,0.00000271
2006,Kazakh,25.575327,0.00000264
2006,Azerbaijani,24.100837,0.00000249
2006,Norwegian-N,22.664419,0.00000234
2006,Mongolian,22.64159,0.00000234
2006,Uzbek,21.912826,0.00000226
2006,Somali,21.896155,0.00000226
2006,Tamil,21.186587,0.00000219
2006,Basque,18.992913,0.00000196
2006,Faroese,18.256757,0.00000188
2006,Punjabi,18.253953,0.00000188
2006,Breton,17.522864,0.00000181
2006,Zulu,16.066993,0.00000166
2006,Swahili,16.063873,0.00000166
2006,Nepali,16.063539,0.00000166
2006,Bengali,15.323104,0.00000158
2006,Urdu,14.599236,0.00000151
2006,Telugu,13.869479,0.00000143
2006,Bosnian,13.863761,0.00000143
2006,Yoruba,12.41008,0.00000128
2006,Shona,10.221719,0.00000106
2006,Twi,8.029581,0.00000083
2006,Serbo-Croatian,6.571275,0.00000068
2006,Kannada,6.570648,0.00000068
2006,Marathi,6.567486,0.00000068
2006,Kurdish,5.11076,0.00000053
2006,Belarusian,5.108393,0.00000053
2006,Pashto,5.107701,0.00000053
2006,Xhosa,4.380168,0.00000045
2006,Tajik,1.459764,0.00000015
2007,English,9577324.022,0.95668031
2007,Spanish,175532.0083,0.01753392
2007,French,49553.10419,0.00494987
2007,Portuguese,43148.57701,0.00431012
2007,German,42362.58988,0.00423161
2007,Polish,31405.07015,0.00313706
2007,Italian,19237.94453,0.00192168
2007,Chinese,13351.23135,0.00133366
2007,Dutch,12444.40273,0.00124307
2007,Japanese,7325.64991,0.00073176
2007,Arabic,6920.403912,0.00069128
2007,Russian,3870.231176,0.00038660
2007,Swedish,3348.510424,0.00033448
2007,Turkish,2669.671551,0.00026667
2007,Hungarian,2386.415763,0.00023838
2007,Slovak,1933.608133,0.00019315
2007,Danish,1781.67717,0.00017797
2007,Czech,1515.493967,0.00015138
2007,Lithuanian,1488.221937,0.00014866
2007,Greek,1453.152105,0.00014516
2007,Korean,1436.476337,0.00014349
2007,Finnish,1420.606131,0.00014190
2007,Romanian,1276.634995,0.00012752
2007,Norwegian,1054.498073,0.00010533
2007,Hebrew,821.47569,0.00008206
2007,Bulgarian,770.815001,0.00007700
2007,Welsh,762.348367,0.00007615
2007,Thai,703.644504,0.00007029
2007,Tagalog,429.164123,0.00004287
2007,Ukrainian,425.901234,0.00004254
2007,Persian,362.346311,0.00003619
2007,Latvian,280.074306,0.00002798
2007,Catalan,232.06272,0.00002318
2007,Croatian,230.470842,0.00002302
2007,Icelandic,210.523341,0.00002103
2007,Galician,143.903631,0.00001437
2007,Estonian,143.33845,0.00001432
2007,Slovenian,130.909862,0.00001308
2007,Vietnamese,115.520043,0.00001154
2007,Irish,105.307959,0.00001052
2007,Afrikaans,102.492912,0.00001024
2007,Indonesian,99.888131,0.00000998
2007,Albanian,73.762906,0.00000737
2007,Hindi,67.75831,0.00000677
2007,Serbian,44.107418,0.00000441
2007,Maltese,38.725122,0.00000387
2007,Tamil,32.48165,0.00000324
2007,Scots-Gaelic,30.314476,0.00000303
2007,Faroese,28.478012,0.00000284
2007,Breton,27.155867,0.00000271
2007,Mongolian,26.71369,0.00000267
2007,Azerbaijani,24.4747,0.00000244
2007,Norwegian-N,23.588802,0.00000236
2007,Kazakh,23.126442,0.00000231
2007,Latin,22.673091,0.00000226
2007,Basque,21.800208,0.00000218
2007,Bosnian,19.566388,0.00000195
2007,Malay,18.678029,0.00000187
2007,Georgian,17.350078,0.00000173
2007,Punjabi,16.000595,0.00000160
2007,Bengali,15.99931,0.00000160
2007,Telugu,13.780462,0.00000138
2007,Urdu,12.439497,0.00000124
2007,Armenian,12.006898,0.00000120
2007,Yoruba,11.557786,0.00000115
2007,Uzbek,11.109724,0.00000111
2007,Somali,10.220986,0.00000102
2007,Marathi,9.774906,0.00000098
2007,Shona,7.999068,0.00000080
2007,Gujarati,6.664706,0.00000067
2007,Quechua,5.329195,0.00000053
2007,Corsican,4.441816,0.00000044
2007,Amharic,3.554165,0.00000036
2007,Kannada,3.11033,0.00000031
2007,Tigrinya,1.776596,0.00000018
2007,Sundanese,0.4441,0.00000004
2008,English,7948308.555,0.79598088
2008,Spanish,1045943.161,0.10474565
2008,Portuguese,683371.785,0.06843605
2008,French,68807.68256,0.00689072
2008,German,52081.565,0.00521569
2008,Polish,45336.891,0.00454025
2008,Arabic,23425.95616,0.00234599
2008,Italian,17404.96796,0.00174302
2008,Chinese,16947.12613,0.00169716
2008,Dutch,15193.67049,0.00152157
2008,Japanese,11773.53255,0.00117906
2008,Russian,10253.69856,0.00102685
2008,Persian,6113.927917,0.00061228
2008,Swedish,3770.582009,0.00037760
2008,Turkish,3637.620896,0.00036429
2008,Bulgarian,3188.719673,0.00031933
2008,Hebrew,2996.875477,0.00030012
2008,Hungarian,2933.364824,0.00029376
2008,Tagalog,2335.983069,0.00023394
2008,Slovak,2259.966692,0.00022632
2008,Finnish,1914.008478,0.00019168
2008,Czech,1808.644406,0.00018113
2008,Korean,1799.376593,0.00018020
2008,Danish,1765.109516,0.00017677
2008,Romanian,1629.926749,0.00016323
2008,Lithuanian,1470.89615,0.00014730
2008,Greek,1453.996198,0.00014561
2008,Norwegian,1148.131724,0.00011498
2008,Thai,998.024337,0.00009995
2008,Welsh,724.479487,0.00007255
2008,Indonesian,681.68202,0.00006827
2008,Afrikaans,520.072257,0.00005208
2008,Ukrainian,497.123218,0.00004978
2008,Latvian,297.830588,0.00002983
2008,Catalan,295.17287,0.00002956
2008,Croatian,275.950236,0.00002763
2008,Vietnamese,195.26829,0.00001956
2008,Slovenian,185.172455,0.00001854
2008,Swahili,166.469979,0.00001667
2008,Icelandic,144.68866,0.00001449
2008,Galician,138.464088,0.00001387
2008,Estonian,136.116132,0.00001363
2008,Albanian,111.116077,0.00001113
2008,Serbian,101.816644,0.00001020
2008,Faroese,99.847365,0.00001000
2008,Irish,74.79638,0.00000749
2008,Malay,57.211387,0.00000573
2008,Maltese,57.095196,0.00000572
2008,Hindi,56.425872,0.00000565
2008,Quechua,52.167464,0.00000522
2008,Azerbaijani,41.605054,0.00000417
2008,Nepali,37.287579,0.00000373
2008,Norwegian-N,36.183825,0.00000362
2008,Basque,35.303084,0.00000354
2008,Tamil,32.992078,0.00000330
2008,Kazakh,31.896314,0.00000319
2008,Bengali,30.18382,0.00000302
2008,Bosnian,27.890311,0.00000279
2008,Breton,27.555242,0.00000276
2008,Uzbek,24.699899,0.00000247
2008,Macedonian,23.62231,0.00000237
2008,Mongolian,23.601853,0.00000236
2008,Scots-Gaelic,22.758479,0.00000228
2008,Latin,21.615092,0.00000216
2008,Telugu,21.59425,0.00000216
2008,Kurdish,20.163715,0.00000202
2008,Yoruba,19.308597,0.00000193
2008,Urdu,17.888814,0.00000179
2008,Punjabi,15.914859,0.00000159
2008,Pashto,15.627929,0.00000157
2008,Georgian,13.337487,0.00000134
2008,Marathi,12.210731,0.00000122
2008,Somali,12.201313,0.00000122
2008,Malayalam,8.234597,0.00000082
2008,Shona,7.663387,0.00000077
2008,Moldavian,7.092605,0.00000071
2008,Frisian,6.813025,0.00000068
2008,Amharic,6.244675,0.00000063
2008,Laothian,3.689785,0.00000037
2008,Tatar,2.269215,0.00000023
2008,Tajik,1.986219,0.00000020
2009,English,6370959.717,0.64255669
2009,Spanish,1807535.922,0.18230288
2009,Portuguese,1073414.042,0.10826146
2009,Arabic,147939.1806,0.01492072
2009,French,122089.4796,0.01231359
2009,German,119126.6435,0.01201477
2009,Polish,62639.50843,0.00631764
2009,Russian,42295.85224,0.00426584
2009,Italian,26266.3474,0.00264915
2009,Turkish,25371.52188,0.00255890
2009,Dutch,17339.60264,0.00174882
2009,Romanian,16666.95099,0.00168098
2009,Chinese,12513.29088,0.00126205
2009,Hungarian,11933.24057,0.00120355
2009,Japanese,9828.835644,0.00099131
2009,Greek,7811.317643,0.00078783
2009,Persian,4493.054272,0.00045316
2009,Bulgarian,4077.858179,0.00041128
2009,Danish,3580.159646,0.00036108
2009,Swedish,3104.011674,0.00031306
2009,Slovak,2444.993404,0.00024660
2009,Tagalog,2264.613909,0.00022840
2009,Croatian,2206.91669,0.00022258
2009,Finnish,1837.788592,0.00018535
2009,Czech,1819.730491,0.00018353
2009,Hebrew,1692.271574,0.00017068
2009,Korean,1522.322205,0.00015354
2009,Serbian,1357.03506,0.00013687
2009,Norwegian,1281.17015,0.00012922
2009,Lithuanian,1122.527475,0.00011321
2009,Afrikaans,1003.119727,0.00010117
2009,Thai,880.800827,0.00008884
2009,Ukrainian,737.14172,0.00007435
2009,Georgian,725.560026,0.00007318
2009,Indonesian,671.800262,0.00006776
2009,Welsh,507.332428,0.00005117
2009,Latvian,421.078458,0.00004247
2009,Bosnian,391.31322,0.00003947
2009,Catalan,317.472986,0.00003202
2009,Swahili,304.43575,0.00003070
2009,Vietnamese,300.01303,0.00003026
2009,Albanian,210.745748,0.00002126
2009,Slovenian,177.463404,0.00001790
2009,Estonian,135.350941,0.00001365
2009,Azerbaijani,132.460804,0.00001336
2009,Icelandic,114.340667,0.00001153
2009,Uzbek,112.778424,0.00001137
2009,Quechua,110.206769,0.00001112
2009,Galician,105.342387,0.00001062
2009,Faroese,78.705775,0.00000794
2009,Bengali,68.958675,0.00000695
2009,Breton,60.667567,0.00000612
2009,Norwegian-N,59.9429,0.00000605
2009,Malay,55.704296,0.00000562
2009,Pashto,52.514165,0.00000530
2009,Hindi,52.27664,0.00000527
2009,Irish,52.172721,0.00000526
2009,Basque,44.267958,0.00000446
2009,Moldavian,43.855236,0.00000442
2009,Macedonian,39.656777,0.00000400
2009,Nepali,35.040455,0.00000353
2009,Tamil,34.301316,0.00000346
2009,Maltese,32.581141,0.00000329
2009,Kazakh,30.789677,0.00000311
2009,Armenian,30.40839,0.00000307
2009,Mongolian,30.049674,0.00000303
2009,Kurdish,27.31422,0.00000275
2009,Zulu,21.880393,0.00000221
2009,Malagasy,20.743112,0.00000209
2009,Urdu,19.142187,0.00000193
2009,Gujarati,17.412105,0.00000176
2009,Malayalam,17.201722,0.00000173
2009,Latin,15.286075,0.00000154
2009,Corsican,15.264849,0.00000154
2009,Sesotho,15.263074,0.00000154
2009,Hausa,13.527291,0.00000136
2009,Telugu,13.129617,0.00000132
2009,Akan,12.939594,0.00000131
2009,Punjabi,11.205523,0.00000113
2009,Xhosa,11.010254,0.00000111
2009,Shona,10.825921,0.00000109
2009,Maori,9.861834,0.00000099
2009,Esperanto,9.849748,0.00000099
2009,Scots-Gaelic,8.690688,0.00000088
2009,Frisian,7.53334,0.00000076
2009,Rhaeto-Romance,7.145746,0.00000072
2009,Marathi,6.369738,0.00000064
2009,Amharic,5.407073,0.00000055
2009,Serbo-Croatian,5.211305,0.00000053
2009,Somali,5.017974,0.00000051
2009,Sinhalese,3.088174,0.00000031
2009,Kyrgyz,2.895919,0.00000029
2009,Occitan,2.894045,0.00000029
2009,Sundanese,1.54373,0.00000016
