Year,Language,Value,Percentage
2004,Spanish,9292821.433,0.93802040
2004,English,248784.7146,0.02511241
2004,Catalan,219995.2618,0.02220639
2004,German,36978.37829,0.00373261
2004,French,25262.03623,0.00254996
2004,Galician,12204.59243,0.00123194
2004,Basque,11173.75049,0.00112788
2004,Italian,10266.72717,0.00103633
2004,Chinese,8943.851328,0.00090280
2004,Dutch,7756.57496,0.00078295
2004,Portuguese,7443.529704,0.00075135
2004,Japanese,3838.464718,0.00038746
2004,Persian,3194.440825,0.00032245
2004,Arabic,2778.172384,0.00028043
2004,Polish,2140.017086,0.00021601
2004,Swedish,2111.097945,0.00021309
2004,Russian,1496.93879,0.00015110
2004,Romanian,1390.724795,0.00014038
2004,Danish,1357.369477,0.00013701
2004,Finnish,1233.254422,0.00012449
2004,Norwegian,861.504127,0.00008696
2004,Turkish,595.90163,0.00006015
2004,Korean,549.457516,0.00005546
2004,Bulgarian,457.301039,0.00004616
2004,Hungarian,391.004423,0.00003947
2004,Hebrew,332.034076,0.00003352
2004,Lithuanian,307.666245,0.00003106
2004,Czech,262.799608,0.00002653
2004,Thai,244.827523,0.00002471
2004,Greek,221.940965,0.00002240
2004,Slovak,178.099235,0.00001798
2004,Croatian,169.498514,0.00001711
2004,Estonian,127.30805,0.00001285
2004,Ukrainian,115.778725,0.00001169
2004,Icelandic,95.420674,0.00000963
2004,Slovenian,93.989737,0.00000949
2004,Latin,83.920151,0.00000847
2004,Esperanto,75.254863,0.00000760
2004,Tagalog,63.597587,0.00000642
2004,Latvian,62.158871,0.00000627
2004,Vietnamese,56.363326,0.00000569
2004,Serbian,56.341606,0.00000569
2004,Occitan,41.908108,0.00000423
2004,Faroese,38.995786,0.00000394
2004,Irish,36.126553,0.00000365
2004,Indonesian,33.255211,0.00000336
2004,Afrikaans,23.113202,0.00000233
2004,Hindi,23.108413,0.00000233
2004,Maltese,17.337378,0.00000175
2004,Norwegian-N,14.454663,0.00000146
2004,Sundanese,13.005038,0.00000131
2004,Urdu,8.665655,0.00000087
2004,Scots-Gaelic,7.221379,0.00000073
2004,Malayalam,4.333556,0.00000044
2004,Armenian,4.332827,0.00000044
2004,Albanian,4.332827,0.00000044
2005,Spanish,9275729.247,0.94874768
2005,Catalan,213419.9043,0.02182919
2005,English,179525.8458,0.01836241
