Year,Language,Value,Percentage
2004,Chinese,9279192.465,0.95608945
2004,English,318637.9845,0.03283113
2004,Japanese,42654.93521,0.00439499
2004,German,20152.89802,0.00207647
2004,French,12795.97141,0.00131844
2004,Spanish,6104.685705,0.00062900
2004,Korean,5522.596476,0.00056903
2004,Dutch,3588.461972,0.00036974
2004,Portuguese,2757.887304,0.00028416
2004,Italian,2643.23996,0.00027235
2004,Swedish,1421.042802,0.00014642
2004,Danish,1167.458884,0.00012029
2004,Polish,1111.699929,0.00011454
2004,Finnish,901.785004,0.00009292
2004,Thai,719.787956,0.00007416
2004,Arabic,680.620985,0.00007013
2004,Turkish,642.443099,0.00006619
2004,Russian,594.19123,0.00006122
2004,Hebrew,466.94428,0.00004811
2004,Norwegian,394.908105,0.00004069
2004,Hungarian,312.706151,0.00003222
2004,Romanian,213.847891,0.00002203
2004,Czech,202.949073,0.00002091
2004,Croatian,191.980048,0.00001978
2004,Hindi,175.636021,0.00001810
2004,Catalan,164.557416,0.00001696
2004,Lithuanian,159.00315,0.00001638
2004,Greek,148.066197,0.00001526
2004,Vietnamese,137.111202,0.00001413
2004,Slovenian,137.105277,0.00001413
2004,Indonesian,104.192741,0.00001074
2004,Persian,104.17488,0.00001073
2004,Icelandic,87.755017,0.00000904
2004,Slovak,87.697703,0.00000904
2004,Serbian,82.250128,0.00000847
2004,Bulgarian,82.248009,0.00000847
2004,Tagalog,71.270761,0.00000734
2004,Estonian,71.27005,0.00000734
2004,Basque,65.801864,0.00000678
2004,Faroese,60.318316,0.00000621
2004,Malay,60.293519,0.00000621
2004,Uzbek,54.838276,0.00000565
2004,Ukrainian,49.342067,0.00000508
2004,Interlingua,49.329958,0.00000508
2004,Latvian,38.37464,0.00000395
2004,Esperanto,32.886639,0.00000339
2004,Azerbaijani,27.415583,0.00000282
2004,Galician,27.413253,0.00000282
2004,Tigrinya,27.411401,0.00000282
2004,Armenian,27.405532,0.00000282
2004,Mongolian,27.405532,0.00000282
2004,Afrikaans,21.929544,0.00000226
2004,Javanese,21.924587,0.00000226
2004,Maltese,10.964978,0.00000113
2004,Bosnian,10.962213,0.00000113
2004,Nepali,10.962213,0.00000113
2004,Norwegian-N,10.962213,0.00000113
2004,Georgian,5.481106,0.00000056
2004,Swahili,5.481106,0.00000056
2004,Bihari,5.481106,0.00000056
2004,Laothian,5.481106,0.00000056
